SPORES,wind_onshore,wind_offshore,roof_mounted_pv,open_field_pv,biofuel_supply,waste_supply,electrolysis,battery,heat_storage_big,heat_storage_small,hydrogen_storage
61,1745.39,1344.19,27.29,1510.21,146.416796,28.2,450.24,10.22,87.62,1652.18,3.24
62,2280.31,1146.35,0.08,1108.3,55.79976416,28.19,463.04,20.79,70.64,1341.72,2.03
63,1901.76,1208.93,112.76,1520.12,134.24409,28.2,453.75,47.99,104.24,0.23,3.55
64,1735.99,1175.8,113.99,1414.66,446.5100545,28.2,401.64,16.17,0.45,2105.9,5.44
65,1787.86,1292.03,85.51,1474.72,154.0705985,28.21,447.8,9.6,96.99,1521.41,5.28
66,1846.66,1210.68,64.13,1325.96,326.6122116,28.21,418.89,11.9,95.09,1954.23,4.73
67,1853.9,1293.88,11.19,1315.35,140.5055502,28.21,457.69,10.23,92.92,1982.38,4.55
68,1627.13,1425.52,36.5,1345.93,129.4971908,28.21,447.2,12.05,96.89,1366.6,4.36
69,1914.4,1173.79,253.51,982.41,368.1161365,28.2,418.25,12.93,78.48,1887.68,2.96
70,1917.99,1174.72,198.97,1132.46,255.2391875,28.2,433.48,11.24,82.54,1702.94,3.98
71,1795.55,1023.38,205.35,1238.85,551.5612927,28.23,323.68,17.35,77.8,1876.2,7.25
72,1979.23,1158.04,248.26,983.98,316.6677561,28.2,423.74,14.31,76.03,1893.65,4.16
73,2272.91,1157.13,0.09,1086.08,47.06269371,28.21,463.04,20.76,67.77,1337.71,2.62
74,1670.29,1302.57,81.11,1275.61,313.7930683,28.21,425.48,14.49,103.73,1493.56,5.86
75,1979.44,1123.04,272.8,1065.48,255.4885889,28.2,432.27,11.43,82.1,1813.82,0
76,1811.44,1060.3,39.39,1484.98,551.2522702,28.23,314.47,13.64,72.75,1867.37,6.81
77,1923.61,1131.09,27.45,1285.38,332.2013282,28.22,457.54,9.88,97.26,1041.51,4.36
78,3104.31,30.69,58.16,2629.13,913.4739117,34.17,512.38,112.85,783.2,3844.46,0
79,3085.65,30.53,55.36,2676.74,901.7558278,34.16,515.27,125.72,902.34,4217.58,3243.75
80,1876.65,1240.25,124.65,1466.79,117.0126567,28.21,452.08,13.03,93.23,1987.17,4.75
81,1742.13,1197.99,17.95,1349.02,461.4830881,28.18,406.81,0,0.07,0,0
82,232.23,1906.34,0,2414.84,1031.511075,28.19,426.71,51.06,123.08,1033.43,1.26
83,3095.11,29.13,56.64,2648.77,925.7953101,34.84,518.6,96.15,782.85,3738.18,2831.05
84,2224.72,889.76,35.31,1363.35,1042.321648,28.28,582.28,1.14,362.03,1759.07,4.8
85,1855.01,1300.02,11.74,1221.02,126.1029828,28.21,459.81,11.76,95.2,1901.68,4.2
86,801.35,1340.22,24.11,2274.87,623.511287,28.24,402.64,28.1,359.04,965.48,6.9
87,2040.53,950.93,124.49,1359.54,551.2094497,28.23,330.06,14.87,68.69,1891.85,6.63
88,2245.36,968.7,53.26,2507.39,63.42250603,28.18,461.8,25.92,70.76,1884.92,0.55
89,2051.46,1082.19,249.59,975.55,394.1926867,28.2,417.02,0,80.31,1917.72,3
90,3579.31,0.01,47.71,2462.58,198.9250853,28.25,463.3,19.47,73.15,1409.98,8.31
91,2280.31,1146.35,0.08,1108.3,55.79976416,28.19,463.04,20.79,70.64,1341.72,2.03
92,2074,1162.47,0.07,1225.13,242.6439472,28.19,435.13,16.23,72.49,1181.45,1.51
93,2169.98,930.99,0.16,1465.38,416.3034003,28.21,466.21,12.27,82.86,1390.48,4.18
94,1914.4,1173.79,253.51,982.41,368.1161365,28.2,418.25,12.93,78.48,1887.68,2.96
95,1944.39,1262.87,33.13,1081.17,123.2141184,28.21,465.27,11.63,96.87,1540.79,4.77
96,2696.93,501.97,0.1,1415.34,639.8682317,28.2,465.06,19.14,76.14,1443.12,4.18
97,1942.58,1262.39,105.74,1440.69,47.02360788,28.23,459.51,10.91,67.74,1856.26,5.76
98,1910.85,1153.45,163.25,1162.83,351.1738229,28.21,418.03,10.58,91.02,1742.18,3.7
99,1754.42,1340.23,32.29,1492.38,146.6941135,28.2,449.73,10.6,88.18,1625.23,3.81
100,3303.51,16.32,22.99,3316.76,1380.910013,30.15,780.82,59.15,375.44,1745.57,1293.87
101,2316.06,800.19,0.13,2438.26,1062.285105,28.26,687.74,0.16,304.28,560.13,9.21
102,1706.42,1199.49,105.77,1558.58,455.4330402,28.2,397.57,17.49,92.11,1676.87,4.21
