,battery,waste_supply,heat_storage_small,wind_offshore,open_field_pv,biofuel_supply,electrolysis,heat_storage_big,roof_mounted_pv,hydrogen_storage,wind_onshore
0,0.10605241678289268,0.43943855901103446,0.4175038342593379,0.922799391301094,0.1424618337175465,0.57221718536867,0.11561662052557886,0.4544883588635439,0.08365948373823762,0.9999025252349898,0.22827047697707004
1,0.06162400141427671,0.45842518335412197,0.34767911349090974,0.5617562924796251,0.1634349452006435,0.593759895824622,0.09535724152424763,0.4756446510379444,0.9662470302708488,0.9996418651560711,0.2558363699956666
2,0.9489480270426667,0.49245293174510707,0.8939524329516085,0.9121804747356608,0.4255911617248215,0.507244457536555,0.29543762109088234,0.973329072017452,0.9649568218533939,0.9998198225492689,0.2688907808902631
3,0.9434093705220034,0.49915230361124086,0.8985859336367304,0.9110082071774848,0.42247571046717025,0.5043372471032417,0.28459892971670986,0.9710888522102001,0.9623720008640727,0.9997870222003171,0.2644144170062541
4,0.9752187497515561,0.4582021036554613,0.3884169902083645,0.8213273717980374,0.6362234471530738,0.6044956570750637,0.3103411642568178,0.47698364631412193,0.9979162727100819,0.1049296714610568,0.26000720594029647
5,0.036475793360007724,0.45854249276852566,0.30904564551570146,0.4251948195914246,0.10650178920470044,0.2750815997884374,0.08729391112675222,0.4457196521702106,0.02350177061516634,1.0,0.24441333132258225
6,0.12839057426860012,0.46152227208146557,0.2962675385495369,0.3660152400004184,0.25904698009712823,0.5897967926213918,0.03221845353395825,0.4669217570999028,0.03751471573392884,1.0,0.20313502009248463
7,1,0.4587433124721635,0.3130742779333159,0.4775248672020984,0.1182298852900433,0.46159188081098046,0.07730701194312017,0.42990141588230857,0.02618316774247409,0.9998315408522898,0.1925931996008039
8,0.037401883867890784,0.4588391704133744,0.3505443078112076,0.4091463532355082,0.1984757264605871,0.6307429867280062,0.06834271037114992,0.4715339844222177,0.031163120321410998,0.76250540277227,0.20590027685558476
9,0.046702699688019766,0.4585450366083368,0.3200103881442461,0.39602466836181116,0.13255420620225045,0.20654425867100024,0.051441150969759764,0.468402910003493,0.024082677663830543,0.9999694874713041,0.2059947064158667
10,0.08054219460558387,0.4589643080804273,0.378274339445858,0.4741183283327318,0.14834493698859552,0.5806915389882483,0.0755936460538762,0.4253913378393738,0.03944515104781421,0.9997870981477539,0.23522543181954336
11,0.030425074739481972,0.45832650801053576,0.3510220462831938,0.5283687069613812,0.3055412561091996,0.19574503154899836,0.050079683419240406,0.4781012963455973,0.9249233654872236,0.9990963518700238,0.2023348674156875
12,0.9296944111870926,0.502614154100357,0.8947603371674386,0.9153931181283543,0.41115027536464865,0.5094162966976268,0.28069365270554225,0.9697414478978034,0.9603961918440668,0.9998315106673573,0.26335994165149135
13,0.6089932222397696,0.5045977953228175,0.693274668333224,0.8564698828855913,0.32279514152962563,0.63876631052407,0.22440611218458362,0.9509835386945767,0.9814499952989055,0.9997806237201786,0.23470289934607802
14,0.7077055264693208,0.4581920865990122,0.3327893550935811,0.8600293774764309,0.8044408337034672,0.2432740288222216,0.39034327358973864,0.47504290490150947,0.9804787502919015,0.9978021294050423,0.7502413679119405
15,0.08369039212104823,0.45866621575022615,0.5619803994564159,0.490397975001853,0.16185778484451974,0.3852967260449377,0.061318718176156306,0.4008063108937193,0.03358921030647144,0.9994176255218212,0.1899065086920506
16,0.04841802516726801,0.45894469155222184,0.323353859599648,0.4540398490254597,0.18903152559547276,0.6307283238181096,0.09566874092654798,0.47117850385893467,0.03388788597523207,0.9997459708715701,0.25875677229218186
17,0.5367523902981419,0.4581848280609726,1,0.8578982581576242,0.8140718975622634,0.12203272783045804,0.49080436480165535,0.4817464285248283,0.990880797066508,0.9894495465306451,0.6795001882388089
18,0.05425640217661065,0.45872701515042735,0.32937902023428745,0.46443206978782414,0.15778622415096855,0.4846795682425922,0.08664765839752586,0.4187509784695036,1,0.9999805773843062,0.1818009073202097
19,1,0.5176656329010725,0.8624608854931568,0.901139737813433,0.4182801930439157,0.5095462661970764,0.29609988163384404,0.971710501785468,0.9649022920457336,0.9998447822280331,0.2688335624334314
20,0.0558041937686411,0.45871043602486905,0.31211615221015676,0.46397967201210577,0.11528766707483562,0.49574536939552527,0.06487149355617872,0.42710905271270483,0.05220566189996756,0.9999695400548279,0.16979303917048005
21,0.02805082820273541,0.4585350712200007,0.3492149960855029,1,0.08721346017129439,0.783116323925962,0.10199591914195205,0.4736231516774344,0.19174866082623465,0.9997202578831978,0.2369234338921501
22,0.05289426793631202,0.458510933076124,0.3329279204894412,0.46177382476341144,0.1593225493487258,0.6139534377532353,0.07544311034900908,0.6890587084442802,0.3538997640894638,0.9549585601158936,0.16267392787108448
23,0.7293430976911682,0.4581894220791214,0.32257077799655476,0.8061026220932824,0.8145392748093505,0.4819328453677253,0.38555251090314735,0.4752309652468989,0.9803331995749726,0.996626226915142,0.646303904090915
24,0.051649449641789524,0.45850608471319254,0.34299302371779294,0.3953656893018659,0.21073706878220844,0.6038110623060426,0.06348803324547192,0.47790892302234433,0.9101796642169309,0.999112821513008,0.2445501661076933
25,0.031230545644136742,0.45832474756882413,0.3415500578085844,0.5287387151634063,0.2656805216785757,0.1859862191597903,0.051063171885271874,0.47863046887667404,0.9272829573939746,0.999165369482404,0.20283178904665045
26,0.05306128984887304,0.45871590023152686,0.3206068105119587,0.40940601948483746,0.18619284642157585,0.44304527866290444,0.051306239142468235,0.44157290480691447,0.029843002294896337,0.9999549757854146,0.24485370777872317
27,0.2434393359062147,0.48471680184136046,0.44883606329250203,0.37594284148774937,0.21178083179808127,0.6338029579036552,0.0911127025806866,0.6974324082983199,0.9742575899430571,0.9999503366262359,0.24017947250489102
28,0.6385297940231915,0.458186676164017,0.32067756801371905,0.8062561648297213,0.7868402501183497,0.4877138736788591,0.36382414027935484,0.47510636205212897,1,0.9958943289833402,0.6249325876096696
29,0.046702699688019766,0.4585450366083368,0.3200103881442461,0.39602466836181116,0.13255420620225045,0.20654425867100024,0.051441150969759764,0.468402910003493,0.024082677663830543,0.9999694874713041,0.2059947064158667
30,0.05018220128707296,0.4586823351687198,0.3382579535743543,0.39001471286151546,0.1381310152671711,0.411266404453305,0.03217790588656366,0.4305983877375117,0.02038826011153394,0.9999589510628254,0.22436225356024297
31,0.03752674938675138,0.4585896758413537,0.3380208411565637,0.44967073843797445,0.10886708724284666,0.4892916117700672,0.06332687782921498,0.46634336609050275,0.05136474714600536,1.0,0.14189890849790354
32,0.8502580032168598,0.5246086683595099,0.8200837840893777,0.8860094820469859,0.38214135452533404,1,0.2715910575959982,0.9786597592278277,0.9637323535042868,0.9998001416871926,0.26247805360616727
