SPORE,Total renewable capacity,Electrolysis capacity ,Transport electrification,Heat electrification,Average national import,Grid transfer capacity
96,0.212773089,0.309,0.734534818,0.892253674,0.318428741,0.54595138
97,0.250738901,0.299,1,0.999131065,0.386289353,0.522342391
98,0.150735854,0.226,1,0.948856541,0.353046485,0.493605547
99,0.214152556,0.282,1,0.947522478,0.371009256,0.509940587
100,0.779307441,0.869,0.9953504,0.039815002,0.275727153,0.421636406
101,0.473237509,0.704,1,0.102454341,0.359230275,0.404037439
102,0.200562867,0.19,1,0.926214564,0.30813694,0.45333297
103,0.238786291,0.286,1,0.965705928,0.363692611,0.530229364
104,0.126794623,0.261,1,0.929084209,0.365564136,0.50432481
105,0.108908642,0.212,1,0.947340505,0.364246417,0.453098014
106,0.190806877,0.306,1,0.99370452,0.365069647,0.50861816
107,0.367170902,0.624,1,0.190006252,0.316065784,0.374461955
108,0.132378971,0.226,1,0.932275723,0.33156846,0.468294342
109,0.238841691,0.312,1,0.95892366,0.35373388,0.493314677
110,0.147342587,0.392,1,0.520750062,0.219550239,0.265648308
111,0.534191668,0.303,1,0.987508132,0.453095588,0.547116706
112,0.107756316,0.277,1,0.974327249,0.364464913,0.504503114
113,0.14985222,0.281,1,0.550151569,0.264015205,0.290681052
114,0.143051835,0.3,1,0.951473373,0.379898519,0.47429053
115,0.14784673,0.293,1,0.948754863,0.359251574,0.519501076
116,0.194795698,0.305,1,0.997885292,0.366354775,0.508799942
117,0.59365279,0.303,1,0.991887705,0.316906011,0.621300409
118,0.239032822,0.207,1,0.949023374,0.34473952,0.486675535
119,0.528917562,0.303,1,0.987732441,0.470572426,0.551235863
120,0.205637533,0.296,1,0.952200314,0.299776706,0.469073033
121,0.173987352,0.296,1,0.955552211,0.384447858,0.463075455
122,0.534197208,0.303,1,0.987510946,0.452940353,0.547122047
123,0.534197208,0.303,1,0.987510946,0.452940353,0.547122047
124,0.216302087,0.283,1,0.947934784,0.408147952,0.515869397
125,0.545191394,0.399,0.985451178,0.709954702,0.296916499,0.563502336
126,0.360846959,0.081,0.999936761,0.996913026,0.294007683,0.711878163
127,0.163117817,0.278,1,0.960544008,0.341267999,0.536317853
128,0.153370138,0.245,1,0.968214979,0.413461436,0.527337045
129,0.215867194,0.282,1,0.948038364,0.37237893,0.507024786
130,0.558002709,0.401,0.986224079,0.738466845,0.291182943,0.505855433
131,0.536252559,0.304,1,0.989699025,0.458863796,0.548455085
132,0.160605414,0.247,1,0.955617203,0.336282464,0.510058112
133,0.134481412,0.303,1,0.951912396,0.329523091,0.488838698
134,0.176740746,0.284,1,0.931360254,0.428016049,0.491043737
135,0.190806877,0.306,1,0.99370452,0.365069647,0.50861816
136,0.114775532,0.284,1,0.935711475,0.362512549,0.509318925
137,0.10652089,0.266,1,0.959929076,0.34317278,0.509435045
138,0.182327864,0.247,1,0.974927797,0.342722525,0.51112252
139,0.168236803,0.281,1,0.530720813,0.171762635,0.242878089
140,0.221908595,0.28,1,0.952921417,0.417143564,0.502350916
141,0.554468171,0.406,0.988260331,0.721267908,0.257845674,0.47194928
142,0.811974217,0.357,1,0.995655096,0.459284326,0.742412573
143,0.60350573,0.39,0.991187309,0.71938417,0.194908291,0.428578886
144,0.141550488,0.221,1,0.772005205,0.404913044,0.400294397
145,0.173987352,0.296,1,0.955552211,0.384447858,0.463075455
146,0.230019196,0.275,1,0.939967835,0.440941658,0.498148499
147,0.319811971,0.02,1,0.99938831,0.42413429,0.635182729
148,0.163029177,0.278,1,0.960535538,0.366063118,0.536330365
149,0.131672618,0.31,1,0.959294096,0.331436379,0.499262904
150,0.238811221,0.286,1,0.965723293,0.344222435,0.530242031
