SPORE,Total renewable capacity,Electrolysis capacity ,Transport electrification,Heat electrification,Average national import,Grid transfer capacity
414,0.09670396,0.192,1,0.784542262,0.352367788,0.404123406
415,0.139434197,0.207,1,0.757515254,0.318241856,0.414826914
416,0.06306214,0.212,1,0.781299378,0.331142163,0.387788669
417,0,0.228,1,0.75282333,0.403883831,0.467652019
418,0.109872607,0.213,1,0.785253362,0.281814507,0.444322768
419,0.105410114,0.199,1,0.801613018,0.286541964,0.352432445
420,0.097651305,0.215,1,0.782182942,0.343214449,0.410003217
421,0.41813362,0.396,0.668424619,0.843132499,0.33473876,0.603320535
422,0.414488281,0.399,0.679830225,0.836043606,0.335701322,0.611499454
423,0.417435576,0.36,0.583513171,0.926037877,0.298151927,0.5932523
424,0.410854023,0.393,0.663913729,0.855018474,0.310760706,0.588756544
425,0.407383195,0.383,0.656597943,0.868211805,0.345278075,0.603053673
426,0.411984189,0.391,0.679317542,0.840819087,0.334941773,0.615258185
427,0.415033974,0.386,0.68832062,0.841249338,0.370392449,0.627443235
428,0.418308131,0.401,0.674048278,0.839942494,0.329018051,0.587676718
429,0.426834234,0.399,0.711695495,0.822123595,0.394728866,0.598964551
430,0.415324826,0.4,0.674819735,0.835750092,0.350526944,0.608269108
431,0.577384497,0.417,0.999998752,0.529494036,0.242725451,0.417084662
432,0.659587434,0.539,0.999589604,0.403071529,0.265301448,0.44105686
433,0.727062206,0.614,0.996698204,0.501866291,0.292581796,0.519436548
434,0.637635073,0.49,0.999998806,0.447804535,0.269789868,0.476505067
435,0.562335011,0.32,1,0.573599007,0.22600349,0.469820133
436,0.621059309,0.446,0.999998667,0.489526746,0.249299416,0.439676941
437,0.659886596,0.546,0.999997463,0.401739301,0.260527024,0.412753634
438,0.623796083,0.617,0.999998768,0.353615481,0.267262858,0.376893392
439,0.68842605,0.599,0.999998983,0.339036751,0.236558107,0.468202879
440,0.663642735,0.535,0.999999021,0.399804699,0.252056497,0.432823397
