SPORE,Total solar capacity ,Battery storage,Transport electrification,Heat electrification,Average national import,Grid transfer capacity
418,0.205120528,0.051,1,0.785253362,0.281814507,0.444322768
419,0.24202655,0.072,1,0.801613018,0.286541964,0.352432445
420,0.229327961,0.06,1,0.782182942,0.343214449,0.410003217
421,0.314351015,0.216,0.668424619,0.843132499,0.33473876,0.603320535
422,0.310088952,0.152,0.679830225,0.836043606,0.335701322,0.611499454
423,0.320492463,0.164,0.583513171,0.926037877,0.298151927,0.5932523
424,0.311488935,0.206,0.663913729,0.855018474,0.310760706,0.588756544
425,0.309345162,0.206,0.656597943,0.868211805,0.345278075,0.603053673
426,0.308024814,0.145,0.679317542,0.840819087,0.334941773,0.615258185
427,0.309513988,0.15,0.68832062,0.841249338,0.370392449,0.627443235
428,0.314166262,0.205,0.674048278,0.839942494,0.329018051,0.587676718
429,0.312673903,0.117,0.711695495,0.822123595,0.394728866,0.598964551
430,0.312559228,0.189,0.674819735,0.835750092,0.350526944,0.608269108
431,0.456685753,0.004,0.999998752,0.529494036,0.242725451,0.417084662
432,0.47828753,0.035,0.999589604,0.403071529,0.265301448,0.44105686
433,0.464410343,0.19,0.996698204,0.501866291,0.292581796,0.519436548
434,0.4693063,0.038,0.999998806,0.447804535,0.269789868,0.476505067
435,0.44966832,0.033,1,0.573599007,0.22600349,0.469820133
436,0.468153186,0.013,0.999998667,0.489526746,0.249299416,0.439676941
437,0.482641969,0.004,0.999997463,0.401739301,0.260527024,0.412753634
438,0.476621567,0.004,0.999998768,0.353615481,0.267262858,0.376893392
439,0.489477834,0.044,0.999998983,0.339036751,0.236558107,0.468202879
440,0.481001489,0.004,0.999999021,0.399804699,0.252056497,0.432823397
