SPORE,Total solar capacity ,Battery storage,Transport electrification,Heat electrification,Average national import,Grid transfer capacity
104,0.184708496,0.045,1,0.929084209,0.365564136,0.50432481
105,0.206455209,0.054,1,0.947340505,0.364246417,0.453098014
106,0.176531579,0.094,1,0.99370452,0.365069647,0.50861816
107,0.317816728,0.001,1,0.190006252,0.316065784,0.374461955
108,0.196844863,0.058,1,0.932275723,0.33156846,0.468294342
109,0.230583007,0.056,1,0.95892366,0.35373388,0.493314677
110,0.239570608,0.005,1,0.520750062,0.219550239,0.265648308
111,0.407832894,0.117,1,0.987508132,0.453095588,0.547116706
112,0.167327371,0,1,0.974327249,0.364464913,0.504503114
113,0.279217666,0.005,1,0.550151569,0.264015205,0.290681052
114,0.197211184,0,1,0.951473373,0.379898519,0.47429053
115,0.192036505,0.049,1,0.948754863,0.359251574,0.519501076
116,0.179143606,0.097,1,0.997885292,0.366354775,0.508799942
117,0.362910817,0.044,1,0.991887705,0.316906011,0.621300409
118,0.279958271,0.06,1,0.949023374,0.34473952,0.486675535
119,0.404246136,0.105,1,0.987732441,0.470572426,0.551235863
120,0.230896769,0.062,1,0.952200314,0.299776706,0.469073033
121,0.211277902,0.046,1,0.955552211,0.384447858,0.463075455
122,0.407834487,0.117,1,0.987510946,0.452940353,0.547122047
123,0.407834487,0.117,1,0.987510946,0.452940353,0.547122047
124,0.244877482,0.046,1,0.947934784,0.408147952,0.515869397
125,0.418731734,0,0.985451178,0.709954702,0.296916499,0.563502336
126,0.323934285,0.298,0.999936761,0.996913026,0.294007683,0.711878163
127,0.220179497,0.054,1,0.960544008,0.341267999,0.536317853
128,0.225707756,0.066,1,0.968214979,0.413461436,0.527337045
129,0.243358047,0.053,1,0.948038364,0.37237893,0.507024786
130,0.431489253,0.549,0.986224079,0.738466845,0.291182943,0.505855433
131,0.408138692,0.116,1,0.989699025,0.458863796,0.548455085
132,0.214310401,0.213,1,0.955617203,0.336282464,0.510058112
133,0.18956145,0.189,1,0.951912396,0.329523091,0.488838698
134,0.221087336,0,1,0.931360254,0.428016049,0.491043737
135,0.176531579,0.094,1,0.99370452,0.365069647,0.50861816
136,0.179810947,0.048,1,0.935711475,0.362512549,0.509318925
137,0.173347774,0.057,1,0.959929076,0.34317278,0.509435045
138,0.228193959,0.053,1,0.974927797,0.342722525,0.51112252
139,0.295318261,0.001,1,0.530720813,0.171762635,0.242878089
140,0.252629148,0.05,1,0.952921417,0.417143564,0.502350916
141,0.43298002,0.517,0.988260331,0.721267908,0.257845674,0.47194928
142,0.481421962,0.224,1,0.995655096,0.459284326,0.742412573
143,0.470077166,0.444,0.991187309,0.71938417,0.194908291,0.428578886
144,0.34485598,0.175,1,0.772005205,0.404913044,0.400294397
145,0.211277902,0.046,1,0.955552211,0.384447858,0.463075455
146,0.256806798,0,1,0.939967835,0.440941658,0.498148499
147,0.30936746,0.145,1,0.99938831,0.42413429,0.635182729
148,0.22013968,0.054,1,0.960535538,0.366063118,0.536330365
149,0.177474457,0.052,1,0.959294096,0.331436379,0.499262904
150,0.2534685,0.059,1,0.965723293,0.344222435,0.530242031
151,0.404505746,0.001,1,0.527822096,0.398354568,0.474024163
152,0.176522023,0.094,1,0.993712234,0.349867186,0.508620248
153,0.372978268,0,1,0.074578999,0.329305174,0.345673656
154,0.177474457,0.052,1,0.959294096,0.331436379,0.499262904
155,0.235752909,0.084,1,0.965294403,0.383102066,0.464492147
156,0.251587523,0,1,0.969727283,0.359980051,0.505438548
157,0.207651326,0.094,1,0.996463612,0.364202716,0.522828111
158,0.762076243,0.491,1,0.712033014,0.339626751,0.46762674
159,0.211274717,0.046,1,0.955607086,0.379075738,0.463114799
160,0.241115526,0.074,1,0.998471733,0.385129911,0.576060907
161,0.212056732,0.051,1,0.974054908,0.356054106,0.514154707
162,0.315666584,0.076,1,0.854515512,0.349125083,0.43305535
163,0.222535099,0.063,1,0.955966811,0.344998794,0.450189778
164,0.211502473,0.061,1,0.952533233,0.332208284,0.505171671
165,0.363431629,0.095,1,0.970639557,0.472273114,0.570412206
166,0.211277902,0.046,1,0.955552211,0.384447858,0.463075455
167,0.313272758,0.122,1,0.820305379,0.424542722,0.41194986
168,0.173341403,0.057,1,0.959943859,0.367983163,0.509439304
169,0.216071926,0.068,1,0.92505274,0.357821602,0.452732888
170,0.247715671,0,1,0.936665869,0.359917096,0.465204381
171,0.431497217,0.438,0.986307401,0.713042453,0.272974361,0.465514305
172,0.176531579,0.094,1,0.99370452,0.365069647,0.50861816
173,0.220929658,0.073,1,0.989643081,0.36666742,0.533968724
174,0.241392656,0.013,0.999998947,0.361140555,0.340156302,0.367261782
175,0.212056732,0.051,1,0.974054908,0.356054106,0.514154707
176,0.192036505,0.049,1,0.948754863,0.359251574,0.519501076
177,0.217048251,0.245,1,0.940412416,0.285044085,0.459934323
178,0.310912378,0.085,1,0.852089669,0.307545558,0.423676811
179,0.243356454,0.053,1,0.947983309,0.387761806,0.506976227
180,0.2534685,0.059,1,0.965723293,0.344222435,0.530242031
181,0.213020315,0.044,1,0.975005184,0.365545063,0.492248586
182,0.212712924,0.073,1,0.996923771,0.352585446,0.534022953
183,0.253223225,0,1,0.940858937,0.432987211,0.477257439
184,0.221073001,0.055,1,0.949052553,0.29219006,0.472603171
185,0.196844863,0.058,1,0.932275723,0.33156846,0.468294342
186,0.197711291,0.067,1,0.933490613,0.334474027,0.463612481
187,0.195225088,0.055,1,0.960274138,0.380871274,0.511246334
188,0.215315394,0.081,1,0.997851579,0.367915529,0.549160063
189,0.230524078,0.042,1,0.953452773,0.394970795,0.507562806
190,0.240440222,0.048,1,0.947578403,0.392971104,0.510056842
191,0.407834487,0.117,1,0.987503489,0.4531016,0.547119058
192,0.211274717,0.046,1,0.955607086,0.379075738,0.463114799
193,0.222232486,0.118,1,0.92828877,0.272265845,0.45878102
194,0.318334355,0.171,0.526483243,0.947169416,0.302179608,0.604190523
195,0.319696113,0.083,1,0.997763653,0.46553385,0.592904622
196,0.190779865,0.039,0.99744759,0.899440817,0.405980968,0.524425677
197,0.316561681,0.001,0.999998753,0.1388995,0.347512076,0.432705652
198,0.227260637,0,1,0.933915968,0.364954732,0.427351573
199,0.218077134,0.083,1,0.996744147,0.34062793,0.536703512
200,0.19634157,0.053,1,0.959750506,0.380094906,0.501680184
201,0.244971451,0.074,1,0.999177994,0.381180682,0.534071299
202,0.212056732,0.051,1,0.974054908,0.356054106,0.514154707
203,0.221955357,0.064,1,0.934463774,0.305190817,0.435697592
204,0.242660445,0.057,1,0.952806211,0.319972118,0.481208229
205,0.211277902,0.046,1,0.955552211,0.384447858,0.463075455
206,0.408360077,0.116,1,0.999495474,0.462375214,0.5524528
207,0.244995341,0.059,1,0.964131771,0.421029991,0.52166784
208,0.22013968,0.054,1,0.960535538,0.366063118,0.536330365
209,0.242520287,0.065,1,0.964217463,0.451569676,0.494958267
210,0.338970957,0.001,1,0.137544729,0.259514142,0.30469711
211,0.211277902,0.046,1,0.955552211,0.384447858,0.463075455
212,0.293407022,0.001,1,0.395348609,0.254786537,0.293173489
213,0,0.253,0.994510208,0.751735293,0.460910652,0.575280801
214,0.2534685,0.059,1,0.965723293,0.344222435,0.530242031
215,0.247378019,0.063,1,0.998871462,0.373097119,0.528395572
